google.com	172.217.2.46	1e100.net
google.com	2607:f8b0:4009:802::200e	1e100.net
youtube.com	172.217.0.174	1e100.net
youtube.com	2607:f8b0:4009:803::200e	1e100.net
facebook.com	31.13.65.36	facebook.com
facebook.com	2a03:2880:f111:83:face:b00c:0:25de	facebook.com
yahoo.com	74.6.143.26	yahoo.com
yahoo.com	2001:4998:24:120d::1:1	yahoo.com
wikipedia.org	208.80.153.224	wikimedia.org
wikipedia.org	2620:0:860:ed1a::1	wikimedia.org
google.co.in	142.250.190.131	1e100.net
google.co.in	2607:f8b0:4009:814::2003	1e100.net
live.com	204.79.197.212	a-msedge.net
google.co.jp	142.250.190.3	1e100.net
google.co.jp	2607:f8b0:4009:808::2003	1e100.net
instagram.com	31.13.65.174	fbcdn.net
instagram.com	2a03:2880:f211:e5:face:b00c:0:4420	fbcdn.net
google.de	142.250.190.99	1e100.net
google.de	2607:f8b0:4009:80b::2003	1e100.net
yandex.ru	77.88.55.88	yandex.ru
yandex.ru	2a02:6b8:a::a	yandex.ru
google.co.uk	142.250.190.99	1e100.net
google.co.uk	2607:f8b0:4009:80b::2003	1e100.net
ebay.com	209.140.136.23	ebay.com
google.fr	172.217.2.35	1e100.net
google.fr	2607:f8b0:4009:802::2003	1e100.net
google.com.br	172.217.2.35	1e100.net
google.com.br	2607:f8b0:4009:802::2003	1e100.net
mail.ru	94.100.180.200	mail.ru
mail.ru	2a00:1148:db00:0:b0b0::1	mail.ru
netflix.com	54.237.226.164	amazonaws.com
google.it	142.250.191.195	1e100.net
google.it	2607:f8b0:4009:81a::2003	1e100.net
google.ru	172.217.5.3	1e100.net
google.ru	2607:f8b0:4009:807::2003	1e100.net
google.es	142.251.32.3	1e100.net
google.es	2607:f8b0:4009:81c::2003	1e100.net
tumblr.com	192.0.77.40	tumblr.com
PayPal.com	64.4.250.36	paypal.com
blogspot.com	142.250.190.137	1e100.net
blogspot.com	2607:f8b0:4009:819::2009	1e100.net
ok.ru	5.61.23.11	odnoklassniki.ru
apple.com	17.253.144.10	apple.com
apple.com	2620:149:af0::10	apple.com
github.com	140.82.113.4	github.com
google.com.mx	142.251.32.3	1e100.net
google.com.mx	2607:f8b0:4009:81c::2003	1e100.net
google.co.kr	142.251.32.3	1e100.net
google.co.kr	2607:f8b0:4009:81c::2003	1e100.net
blogger.com	142.251.32.9	1e100.net
blogger.com	2607:f8b0:4009:81c::2009	1e100.net
google.ca	142.250.191.163	1e100.net
google.ca	2607:f8b0:4009:819::2003	1e100.net
google.com.hk	142.250.190.99	1e100.net
google.com.hk	2607:f8b0:4009:81c::2003	1e100.net
whatsapp.com	31.13.88.60	fbcdn.net
whatsapp.com	2a03:2880:f211:1c1:face:b00c:0:167	fbcdn.net
google.com.tr	172.217.2.35	1e100.net
google.com.tr	2607:f8b0:4009:802::2003	1e100.net
google.co.id	142.250.190.131	1e100.net
google.co.id	2607:f8b0:4009:814::2003	1e100.net
rakuten.co.jp	133.237.16.234	rakuten.co.jp
craigslist.org	208.82.237.129	craigslist.org
google.pl	142.250.191.227	1e100.net
google.pl	2607:f8b0:4009:81b::2003	1e100.net
bilibili.com	139.159.241.37	hwclouds-dns.com
outbrain.com	192.82.210.254	outbrain.com
pixnet.net	103.23.108.107	pixnet.tw
google.com.tw	142.250.190.99	1e100.net
google.com.tw	2607:f8b0:4009:807::2003	1e100.net
booking.com	5.57.16.220	booking.com
google.com.au	142.250.191.195	1e100.net
google.com.au	2607:f8b0:4009:80b::2003	1e100.net
coccoc.com	123.30.175.29	coccoc.com
google.co.th	172.217.2.35	1e100.net
google.co.th	2607:f8b0:4009:802::2003	1e100.net
google.com.ar	172.217.5.3	1e100.net
google.com.ar	2607:f8b0:4009:807::2003	1e100.net
go.com	23.236.60.174	googleusercontent.com
google.nl	172.217.1.99	1e100.net
google.nl	2607:f8b0:4009:801::2003	1e100.net
ebay.co.uk	209.140.139.232	ebay.com
globo.com	186.192.90.12	globo.com
google.com.ua	172.217.2.35	1e100.net
google.com.ua	2607:f8b0:4009:805::2003	1e100.net
uol.com.br	200.147.3.157	uol.com.br
google.com.co	142.250.190.35	1e100.net
google.com.co	2607:f8b0:4009:80a::2003	1e100.net
google.com.vn	172.217.4.35	1e100.net
google.com.vn	2607:f8b0:4009:802::2003	1e100.net
google.com.ph	142.250.191.99	1e100.net
google.com.ph	2607:f8b0:4009:808::2003	1e100.net
doubleclick.net	142.250.190.110	1e100.net
doubleclick.net	2607:f8b0:4009:80b::200e	1e100.net
onet.pl	99.83.207.202	awsglobalaccelerator.com
googleadservices.com	172.217.1.98	1e100.net
accuweather.com	23.198.220.92	akamaitechnologies.com
googleweblight.com	142.251.32.1	1e100.net
googleweblight.com	2607:f8b0:4009:81c::2001	1e100.net
answers.yahoo.com	3.218.253.195	amazonaws.com
